Instance,N,Run,Algorithm,PointID,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count
r101.txt,100,0,HPP-init-NSGA2,1,164.831277,1750.0,250.0,89,3,8,9,2,3
r101.txt,100,0,HPP-init-NSGA2,2,165.105464,1630.0,310.0,88,4,8,9,2,3
r101.txt,100,0,HPP-init-NSGA2,3,164.831277,1750.0,250.0,89,3,8,9,2,3
r101.txt,100,0,HPP-init-NSGA2,4,165.025178,1640.0,300.0,88,4,8,9,2,3
r101.txt,100,0,HPP-init-NSGA2,5,181.722283,1700.0,20.0,87,5,8,10,2,3
r101.txt,100,0,HPP-init-NSGA2,6,181.145544,1700.0,30.0,87,5,8,10,2,3
r101.txt,100,0,HPP-init-NSGA2,7,184.916846,1640.0,20.0,86,6,8,10,2,4
r101.txt,100,0,HPP-init-NSGA2,8,190.781121,1550.0,20.0,83,7,10,10,4,4
r101.txt,100,0,HPP-init-NSGA2,9,187.702232,1560.0,20.0,84,6,10,10,3,4
r101.txt,100,0,HPP-init-NSGA2,10,167.822947,1630.0,160.0,87,5,8,9,2,4
r101.txt,100,0,HPP-init-NSGA2,11,180.615879,1620.0,50.0,87,5,8,10,2,3
r101.txt,100,0,HPP-init-NSGA2,12,165.187656,1700.0,160.0,88,4,8,9,2,3
r101.txt,100,0,HPP-init-NSGA2,13,252.751194,1310.0,0.0,89,3,8,15,1,4
r101.txt,100,0,HPP-init-NSGA2,14,184.572984,1560.0,30.0,85,6,9,10,2,4
r101.txt,100,0,HPP-init-NSGA2,15,187.651872,1550.0,30.0,84,7,9,10,3,4
r101.txt,100,0,HPP-init-NSGA2,16,180.612313,1700.0,50.0,88,4,8,10,2,3
r101.txt,100,0,HPP-init-NSGA2,17,184.500021,1640.0,30.0,87,4,9,10,2,4
r101.txt,100,0,HPP-init-NSGA2,18,135.224656,2020.0,6263.407708,87,6,7,7,1,3
r101.txt,100,0,HPP-init-NSGA2,19,141.725586,1950.0,3973.407708,83,9,8,7,2,4
r101.txt,100,0,HPP-init-NSGA2,20,254.173067,1280.0,0.0,88,6,6,15,2,3
r101.txt,100,0,HPP-init-NSGA2,21,140.499651,1950.0,5306.799112,85,6,9,7,2,4
r101.txt,100,0,HPP-init-NSGA2,22,141.290778,1950.0,4752.428002,83,8,9,7,2,4
r101.txt,100,0,HPP-init-NSGA2,23,141.465348,1950.0,4180.412381,83,9,8,7,2,4
r101.txt,100,0,HPP-init-NSGA2,24,144.258163,1870.0,4826.799112,79,11,10,8,3,5
r101.txt,100,0,HPP-init-NSGA2,25,266.000454,1260.0,0.0,85,6,9,15,3,6
r101.txt,100,0,HPP-init-NSGA2,26,223.706816,1320.0,0.0,90,7,3,13,3,2
r101.txt,100,0,HPP-init-NSGA2,27,150.25671,1930.0,2630.0,91,6,3,8,2,3
r101.txt,100,0,HPP-init-NSGA2,28,150.368769,1930.0,2460.0,90,7,3,8,2,3
r101.txt,100,0,HPP-init-NSGA2,29,150.547098,1930.0,2450.0,89,7,4,8,2,3
r101.txt,100,0,HPP-init-NSGA2,30,150.828235,2020.0,1740.0,88,9,3,8,2,3
r101.txt,100,0,HPP-init-NSGA2,31,153.834323,2020.0,1310.0,85,10,5,8,2,4
r101.txt,100,0,HPP-init-NSGA2,32,151.006564,2020.0,1730.0,87,9,4,8,2,3
r101.txt,100,0,HPP-init-NSGA2,33,191.802292,1560.0,0.0,88,5,7,12,2,3
r101.txt,100,0,HPP-init-NSGA2,34,153.289623,1800.0,2449.560936,85,6,9,8,3,3
r101.txt,100,0,HPP-init-NSGA2,35,158.960465,1650.0,2683.200546,83,7,10,8,4,4
r101.txt,100,0,HPP-init-NSGA2,36,153.09228,1790.0,3613.200546,85,7,8,8,3,3
r101.txt,100,0,HPP-init-NSGA2,37,145.643618,2090.0,3750.0,93,5,2,8,2,1
r101.txt,100,0,HPP-init-NSGA2,38,153.498888,1730.0,4220.0,86,9,5,8,2,4
r101.txt,100,0,HPP-init-NSGA2,39,153.353093,1740.0,2930.0,87,8,5,8,2,4
r101.txt,100,0,HPP-init-NSGA2,40,245.042725,1290.0,30.0,85,7,8,14,1,6
r101.txt,100,0,HPP-init-NSGA2,41,133.157588,1940.0,6605.11898,85,6,9,7,1,3
r101.txt,100,0,HPP-init-NSGA2,42,148.078555,1710.0,4834.840693,85,6,9,9,1,4
r101.txt,100,0,HPP-init-NSGA2,43,132.664438,1940.0,6655.11898,84,6,10,7,1,3
r101.txt,100,0,HPP-init-NSGA2,44,154.743091,1810.0,1090.0,86,6,8,8,3,3
r101.txt,100,0,HPP-init-NSGA2,45,155.009708,1810.0,1000.0,86,6,8,9,2,4
r101.txt,100,0,HPP-init-NSGA2,46,152.526205,1802.811713,2933.612991,86,5,9,8,1,4
r101.txt,100,0,HPP-init-NSGA2,47,158.337228,1790.0,924.3354,83,10,7,9,4,4
r101.txt,100,0,HPP-init-NSGA2,48,157.605501,1810.0,820.0,84,7,9,9,3,4
r101.txt,100,0,HPP-init-NSGA2,49,155.494289,1730.0,1221.17567,85,9,6,9,3,4
r101.txt,100,0,HPP-init-NSGA2,50,151.760321,1810.0,1500.0,87,5,8,9,1,4
r101.txt,100,0,HPP-init-NSGA2,51,155.617577,1730.0,1161.17567,84,9,7,9,3,4
r101.txt,100,0,HPP-init-NSGA2,52,154.561593,1810.0,1330.0,86,6,8,9,2,4
r101.txt,100,0,HPP-init-NSGA2,53,178.871048,1710.0,80.0,89,9,2,10,3,1
r101.txt,100,0,HPP-init-NSGA2,54,163.39348,1660.0,1088.175482,89,5,6,9,1,3
r101.txt,100,0,HPP-init-NSGA2,55,162.101373,1680.0,2090.0,90,5,5,9,1,3
r101.txt,100,0,HPP-init-NSGA2,56,206.497435,1330.0,0.0,88,6,6,12,2,2
r101.txt,100,0,HPP-init-NSGA2,57,197.397795,1320.0,345.550972,83,4,13,11,1,5
r101.txt,100,0,HPP-init-NSGA2,58,210.035956,1320.0,20.0,87,6,7,12,2,3
r101.txt,100,0,HPP-init-NSGA2,59,248.687691,1280.0,160.0,87,2,11,14,1,7
r101.txt,100,0,HPP-init-NSGA2,60,159.707673,1690.0,2300.0,93,3,4,9,1,2
r101.txt,100,0,HPP-init-NSGA2,61,193.413515,1390.0,0.0,86,5,9,11,2,3
r101.txt,100,0,HPP-init-NSGA2,62,249.749117,1280.0,140.0,86,2,12,14,1,7
r101.txt,100,0,HPP-init-NSGA2,63,150.472842,1840.0,3233.964567,87,7,6,8,1,4
