Instance,N,Gurobi_status,Gurobi_cost,Gurobi_Tmax_LB_UB,Gap_percent,NSGAII_cost,NSGAII_Tmax_delay,Runtime_s
c101,2,Opt.,3.28,103.08/103.08,0.0,3.28,103.08 / 0.00,4.49
c101,4,Opt.,3.75,103.08/103.08,0.0,3.75,103.08 / 0.00,5.41
c101,6,Opt.,4.21,231.95/231.95,0.0,4.21,231.95 / 0.00,4.6
c101,8,Opt.,4.68,250.55/250.55,0.0,4.68,254.02 / 0.00,5.5
c101,10,TL,5.19,160.00/270.71,40.9,5.19,289.46 / 0.00,5.08
r101,2,Opt.,15.26,370.00/370.00,0.0,15.26,370.00 / 0.00,4.82
r101,4,Opt.,15.84,370.00/370.00,0.0,15.84,370.00 / 0.00,4.64
r101,6,Opt.,16.66,370.00/370.00,0.0,16.66,370.00 / 0.00,5.73
r101,8,Opt.,17.11,1040.00/1040.00,0.0,17.48,1040.00 / 0.00,4.57
r101,10,Opt.,17.97,1040.00/1040.00,0.0,18.59,1040.00 / 0.00,4.71
rc101,2,Opt.,3.68,190.39/190.39,0.0,3.68,190.39 / 0.00,4.44
rc101,4,Opt.,15.96,1010.00/1010.00,0.0,15.96,1010.00 / 0.00,3.85
rc101,6,Opt.,16.04,1010.00/1010.00,0.0,16.25,1010.00 / 0.00,4.21
rc101,8,Opt.,16.16,1010.00/1010.00,0.0,16.16,1010.00 / 0.00,4.56
rc101,10,TL,17.23,201.56/1010.00,80.04,17.48,1010.00 / 0.00,4.79
