Instance,N,Runs,HV_Mean,HV_Std,RunTime_Mean_s,RunTime_Std_s,Cost_Min_Mean,Cost_Min_Std,Time_Min_Mean,Time_Min_Std,Pen_Min_Mean,Pen_Min_Std,ZeroPenalty_Ratio_Mean
c101.txt,2,30,4973281983355.861,0.0,4.487924,0.043084,3.278042,0.0,103.077641,0.0,0.0,0.0,1.0
c101.txt,4,30,4970760424732.624,0.0,5.405883,0.075721,3.747019,0.0,103.077641,0.0,0.0,0.0,1.0
c101.txt,6,30,4955548661122.035,0.000977,4.60217,0.113844,4.21459,0.0,231.950037,0.0,0.0,0.0,1.0
c101.txt,8,30,4950862792335.605,519201271.183276,5.503609,0.851803,4.681861,0.0,254.020138,5.273472,0.0,0.0,1.0
c101.txt,10,30,4944619084651.116,1720433422.392805,5.076808,0.29004,5.186831,0.0,289.461134,17.262713,0.0,0.0,1.0
r101.txt,2,30,4887176075432.949,0.0,4.817031,0.029806,15.260274,0.0,370.0,0.0,0.0,0.0,1.0
r101.txt,4,30,4884202980704.239,0.000977,4.642525,0.03492,15.835616,0.0,370.0,0.0,0.0,0.0,1.0
r101.txt,6,30,4879922557450.308,0.00096,5.732657,0.152109,16.657534,0.0,370.0,0.0,0.0,0.0,0.979144
r101.txt,8,30,4809991409698.234,62507.115294,4.566761,0.041305,17.479452,0.0,1040.0,0.0,0.0,0.0,0.665313
r101.txt,10,30,4804446382022.89,220334.406197,4.706774,0.067101,18.589041,0.0,1040.0,0.0,0.0,0.0,0.762902
rc101.txt,2,30,4962529535700.637,0.0,4.443888,0.062148,3.683352,0.0,190.394328,0.0,0.0,0.0,1.0
rc101.txt,4,30,4820773677457.25,0.000836,3.849797,0.013239,15.958904,0.0,1010.0,0.0,0.0,0.0,1.0
rc101.txt,6,30,4819311195095.775,0.001128,4.207407,0.016108,16.246575,0.0,1010.0,0.0,0.0,0.0,0.7423
rc101.txt,8,30,4819679121045.02,136163.571863,4.556857,0.022331,16.164384,0.0,1010.0,0.0,0.0,0.0,0.973788
rc101.txt,10,30,4812971760007.971,352688.393537,4.793196,0.04599,17.479452,0.0,1010.0,0.0,0.0,0.0,0.950885
