Experiment,Level,Instance,Seed,N,NumTrucks_Set,NumDirectDrones_Set,NumCarDrones_Set,TruckSpeed_Set,DroneSpeed_Set,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,AirService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count,Runtime_s
TruckCount,T=6,r101.txt,4201,100,6,5,1,10.0,20.0,86.17695302106475,2460.0,30404.588098062493,92,0,8,8,4,0,4,78.25686287879944
TruckCount,T=6,r101.txt,4202,100,6,5,1,10.0,20.0,114.15068702026542,1870.0,7249.656015616581,93,7,0,7,6,3,0,76.82399153709412
TruckCount,T=6,r101.txt,4203,100,6,5,1,10.0,20.0,85.85850205024411,2440.0,28375.561419836893,90,0,10,10,4,0,4,77.64706254005432
TruckCount,T=6,r101.txt,4204,100,6,5,1,10.0,20.0,104.97014683764662,2290.0,12720.0,91,3,6,9,5,1,4,78.2170627117157
TruckCount,T=6,r101.txt,4205,100,6,5,1,10.0,20.0,112.29064872580098,2100.0,12410.490002020782,94,3,3,6,6,1,1,78.52088665962219
TruckCount,T=6,r101.txt,4206,100,6,5,1,10.0,20.0,87.08177749872578,2750.0,24941.478150704934,90,4,6,10,4,1,3,78.0430817604065
TruckCount,T=6,r101.txt,4207,100,6,5,1,10.0,20.0,81.36772409873402,2850.0,34720.0,94,5,1,6,4,1,1,76.39544796943665
TruckCount,T=6,r101.txt,4208,100,6,5,1,10.0,20.0,111.37127485190776,2120.0,8561.478150704934,91,6,3,9,6,1,1,87.2006368637085
TruckCount,T=6,r101.txt,4209,100,6,5,1,10.0,20.0,106.85642210134864,2190.0,15940.0,99,1,0,1,6,1,0,78.77779936790466
TruckCount,T=6,r101.txt,4210,100,6,5,1,10.0,20.0,112.8523286800561,2180.0,7820.0,94,6,0,6,6,2,0,74.05948376655579
TruckCount,T=6,r101.txt,4211,100,6,5,1,10.0,20.0,89.33574599779848,2460.0,23265.117761011723,88,4,8,12,4,1,4,78.86467409133911
TruckCount,T=6,r101.txt,4212,100,6,5,1,10.0,20.0,112.3825822448447,2030.0,10140.588644261148,90,7,3,10,6,1,1,70.28721308708191
TruckCount,T=6,r101.txt,4213,100,6,5,1,10.0,20.0,109.0934265533687,2160.0,12870.0,95,5,0,5,6,1,0,70.31909680366516
TruckCount,T=6,r101.txt,4214,100,6,5,1,10.0,20.0,111.34764264379162,2020.0,8403.66316612205,91,6,3,9,6,1,1,74.67654061317444
TruckCount,T=6,r101.txt,4215,100,6,5,1,10.0,20.0,98.35079280078602,2330.0,17830.0,93,4,3,7,5,1,2,74.16164135932922
TruckCount,T=6,r101.txt,4216,100,6,5,1,10.0,20.0,89.14728042726375,2400.0,27381.478150704934,91,3,6,9,4,1,4,78.32097673416138
TruckCount,T=6,r101.txt,4217,100,6,5,1,10.0,20.0,86.37559381736074,2450.0,30135.090623379438,94,0,6,6,4,0,4,69.65729331970215
TruckCount,T=6,r101.txt,4218,100,6,5,1,10.0,20.0,106.85642210134864,2190.0,15020.0,99,0,1,1,6,0,1,70.89631795883179
TruckCount,T=6,r101.txt,4219,100,6,5,1,10.0,20.0,89.38497477825248,2410.0,28691.478150704934,91,2,7,9,4,1,4,71.36099076271057
TruckCount,T=6,r101.txt,4220,100,6,5,1,10.0,20.0,113.82138216227986,1940.0,7461.42210950947,92,4,4,8,6,1,2,67.40296268463135
TruckCount,T=6,r101.txt,4221,100,6,5,1,10.0,20.0,121.04532233154224,1760.0,4206.958917134434,81,15,4,19,6,3,2,62.90643310546875
TruckCount,T=6,r101.txt,4222,100,6,5,1,10.0,20.0,111.85509363085563,1920.0,8289.725792584508,92,8,0,8,6,2,0,69.1458797454834
TruckCount,T=6,r101.txt,4223,100,6,5,1,10.0,20.0,113.6964727554428,2000.0,13690.0,97,3,0,3,6,3,0,70.37161874771118
