N,Run,Algorithm,Version,FrontType,PenaltyCap,Pareto_Count,HV,RunTime_s,Conv_Gen,Cost_Min,Cost_Mean,Cost_Max,Time_Min,Time_Mean,Time_Max,Pen_Min,Pen_Mean,Pen_Max,TruckService_Avg,DirectService_Avg,CarService_Avg,AirService_Avg,ActiveTruck_Avg,ActiveDirect_Avg,ActiveCar_Avg,PureTruck_Ratio,ZeroPenalty_Count,ZeroPenalty_Ratio,ZeroPenaltyTime_Best,ZeroPenaltyCost_Best
100,4201,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4342394902252.293,18.938044,100,103.838904,129.552537,178.09589,1520.0,1940.714286,2530.0,0.0,0.0,0.0,98.428571,0.928571,0.642857,1.571429,7.642857,0.5,0.571429,0.285714,14,1.0,1520.0,103.838904
100,4202,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,15,4385813995662.268,21.69359,100,94.68398,132.572471,182.575342,1530.0,1819.333333,2490.0,0.0,0.0,0.0,93.8,0.066667,6.133333,6.2,7.866667,0.066667,1.933333,0.0,15,1.0,1530.0,94.68398
100,4203,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4385252742998.969,19.25623,100,94.8506,124.864826,176.287671,1530.0,1955.625,3070.0,0.0,5.625,50.0,99.0625,0.75,0.1875,0.9375,7.4375,0.3125,0.1875,0.5625,14,0.875,1530.0,95.187747
100,4204,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4392722658096.832,19.92105,100,93.150685,121.39123,190.438356,1530.0,2087.5,2780.0,0.0,5.0,50.0,96.25,0.1875,3.5625,3.75,7.125,0.125,1.25,0.3125,14,0.875,1530.0,93.150685
100,4205,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,30,4386999464627.761,18.398164,100,94.40734,121.383589,187.890411,1530.0,1880.333333,2890.0,0.0,2.666667,40.0,98.633333,0.266667,1.1,1.366667,7.433333,0.233333,1.0,0.2,28,0.933333,1530.0,94.40734
100,4206,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4373062527196.9287,21.514969,100,96.915829,135.689696,204.693391,1530.0,2138.571429,3400.0,0.0,2.857143,40.0,96.928571,1.214286,1.857143,3.071429,7.785714,0.571429,1.0,0.142857,13,0.928571,1530.0,96.915829
100,4207,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4356470728676.552,19.260462,100,100.890411,144.05144,186.273085,1530.0,1691.428571,1910.0,0.0,0.0,0.0,96.0,0.071429,3.928571,4.0,8.714286,0.071429,1.785714,0.142857,14,1.0,1530.0,100.890411
100,4208,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4392788597811.632,20.540473,100,92.369863,121.332934,185.964947,1570.0,2048.571429,3140.0,0.0,10.714286,70.0,97.428571,0.071429,2.5,2.571429,6.928571,0.071429,1.428571,0.285714,11,0.785714,1570.0,94.118021
100,4209,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,11,4329715207814.9175,18.295542,100,106.334715,134.667349,180.065072,1530.0,1895.454545,2340.0,0.0,0.0,0.0,95.636364,0.545455,3.818182,4.363636,7.727273,0.454545,1.909091,0.0,11,1.0,1530.0,106.334715
100,4210,HPP-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,19,4336863060923.4814,17.66369,100,104.589041,122.585454,149.224199,1550.0,1994.210526,2800.0,0.0,0.0,0.0,97.315789,0.842105,1.842105,2.684211,7.157895,0.368421,0.789474,0.315789,19,1.0,1550.0,104.589041
